Burst,Signal Type,Signal Type_str,ECC Number,ECC Number_str,AziBlock_Sum,AziBlock_Start,AziBlock_Stop
1,0,Echo,8,Interferometric Wide Swath,1224,0,1224
2,10,EPDN Cal,8,Interferometric Wide Swath,19,1225,1244
3,0,Echo,8,Interferometric Wide Swath,1408,1245,2653
4,11,TA Cal,8,Interferometric Wide Swath,19,2654,2673
5,0,Echo,8,Interferometric Wide Swath,1547,2674,4221
6,12,APDN Cal,8,Interferometric Wide Swath,19,4222,4241
7,0,Echo,8,Interferometric Wide Swath,1409,4242,5651
8,12,APDN Cal,8,Interferometric Wide Swath,19,5652,5671
9,0,Echo,8,Interferometric Wide Swath,1408,5672,7080
10,8,Tx Cal,8,Interferometric Wide Swath,19,7081,7100
11,0,Echo,8,Interferometric Wide Swath,1547,7101,8648
12,9,Rx Cal,8,Interferometric Wide Swath,19,8649,8668
13,0,Echo,8,Interferometric Wide Swath,1409,8669,10078
14,10,EPDN Cal,8,Interferometric Wide Swath,19,10079,10098
15,0,Echo,8,Interferometric Wide Swath,1408,10099,11507
16,11,TA Cal,8,Interferometric Wide Swath,19,11508,11527
17,0,Echo,8,Interferometric Wide Swath,1547,11528,13075
18,12,APDN Cal,8,Interferometric Wide Swath,19,13076,13095
19,0,Echo,8,Interferometric Wide Swath,1409,13096,14505
20,12,APDN Cal,8,Interferometric Wide Swath,19,14506,14525
21,0,Echo,8,Interferometric Wide Swath,1408,14526,15934
22,8,Tx Cal,8,Interferometric Wide Swath,19,15935,15954
23,0,Echo,8,Interferometric Wide Swath,1547,15955,17502
24,9,Rx Cal,8,Interferometric Wide Swath,19,17503,17522
25,0,Echo,8,Interferometric Wide Swath,1409,17523,18932
26,10,EPDN Cal,8,Interferometric Wide Swath,19,18933,18952
27,0,Echo,8,Interferometric Wide Swath,1408,18953,20361
28,11,TA Cal,8,Interferometric Wide Swath,19,20362,20381
29,0,Echo,8,Interferometric Wide Swath,1547,20382,21929
30,12,APDN Cal,8,Interferometric Wide Swath,19,21930,21949
31,0,Echo,8,Interferometric Wide Swath,1409,21950,23359
32,12,APDN Cal,8,Interferometric Wide Swath,19,23360,23379
33,0,Echo,8,Interferometric Wide Swath,1408,23380,24788
34,8,Tx Cal,8,Interferometric Wide Swath,19,24789,24808
35,0,Echo,8,Interferometric Wide Swath,1547,24809,26356
36,9,Rx Cal,8,Interferometric Wide Swath,19,26357,26376
37,0,Echo,8,Interferometric Wide Swath,1409,26377,27786
38,10,EPDN Cal,8,Interferometric Wide Swath,19,27787,27806
39,0,Echo,8,Interferometric Wide Swath,1408,27807,29215
40,11,TA Cal,8,Interferometric Wide Swath,19,29216,29235
41,0,Echo,8,Interferometric Wide Swath,1547,29236,30783
42,12,APDN Cal,8,Interferometric Wide Swath,19,30784,30803
43,0,Echo,8,Interferometric Wide Swath,1409,30804,32213
44,12,APDN Cal,8,Interferometric Wide Swath,19,32214,32233
45,0,Echo,8,Interferometric Wide Swath,1408,32234,33642
46,8,Tx Cal,8,Interferometric Wide Swath,19,33643,33662
47,0,Echo,8,Interferometric Wide Swath,1547,33663,35210
48,9,Rx Cal,8,Interferometric Wide Swath,19,35211,35230
49,0,Echo,8,Interferometric Wide Swath,1409,35231,36640
50,10,EPDN Cal,8,Interferometric Wide Swath,19,36641,36660
51,0,Echo,8,Interferometric Wide Swath,1408,36661,38069
52,11,TA Cal,8,Interferometric Wide Swath,19,38070,38089
53,0,Echo,8,Interferometric Wide Swath,1547,38090,39637
54,12,APDN Cal,8,Interferometric Wide Swath,19,39638,39657
55,0,Echo,8,Interferometric Wide Swath,1409,39658,41067
56,12,APDN Cal,8,Interferometric Wide Swath,19,41068,41087
57,0,Echo,8,Interferometric Wide Swath,1408,41088,42496
58,8,Tx Cal,8,Interferometric Wide Swath,19,42497,42516
59,0,Echo,8,Interferometric Wide Swath,1547,42517,44064
60,9,Rx Cal,8,Interferometric Wide Swath,19,44065,44084
61,0,Echo,8,Interferometric Wide Swath,1409,44085,45494
62,10,EPDN Cal,8,Interferometric Wide Swath,19,45495,45514
63,0,Echo,8,Interferometric Wide Swath,1408,45515,46923
64,11,TA Cal,8,Interferometric Wide Swath,19,46924,46943
65,0,Echo,8,Interferometric Wide Swath,1547,46944,48491
66,12,APDN Cal,8,Interferometric Wide Swath,19,48492,48511
67,0,Echo,8,Interferometric Wide Swath,1409,48512,49921
68,12,APDN Cal,8,Interferometric Wide Swath,19,49922,49941
69,0,Echo,8,Interferometric Wide Swath,1408,49942,51350
70,8,Tx Cal,8,Interferometric Wide Swath,19,51351,51370
71,0,Echo,8,Interferometric Wide Swath,709,51371,52080
