Burst,Signal Type,Signal Type_str,ECC Number,ECC Number_str,AziBlock_Sum,AziBlock_Start,AziBlock_Stop
1,0,Echo,8,Interferometric Wide Swath,424,0,424
2,10,EPDN Cal,8,Interferometric Wide Swath,19,425,444
3,0,Echo,8,Interferometric Wide Swath,1408,445,1853
4,11,TA Cal,8,Interferometric Wide Swath,19,1854,1873
5,0,Echo,8,Interferometric Wide Swath,1547,1874,3421
6,12,APDN Cal,8,Interferometric Wide Swath,19,3422,3441
7,0,Echo,8,Interferometric Wide Swath,1409,3442,4851
8,12,APDN Cal,8,Interferometric Wide Swath,19,4852,4871
9,0,Echo,8,Interferometric Wide Swath,1408,4872,6280
10,8,Tx Cal,8,Interferometric Wide Swath,19,6281,6300
11,0,Echo,8,Interferometric Wide Swath,1547,6301,7848
12,9,Rx Cal,8,Interferometric Wide Swath,19,7849,7868
13,0,Echo,8,Interferometric Wide Swath,1409,7869,9278
14,10,EPDN Cal,8,Interferometric Wide Swath,19,9279,9298
15,0,Echo,8,Interferometric Wide Swath,1408,9299,10707
16,11,TA Cal,8,Interferometric Wide Swath,19,10708,10727
17,0,Echo,8,Interferometric Wide Swath,1547,10728,12275
18,12,APDN Cal,8,Interferometric Wide Swath,19,12276,12295
19,0,Echo,8,Interferometric Wide Swath,1409,12296,13705
20,12,APDN Cal,8,Interferometric Wide Swath,19,13706,13725
21,0,Echo,8,Interferometric Wide Swath,1408,13726,15134
22,8,Tx Cal,8,Interferometric Wide Swath,19,15135,15154
23,0,Echo,8,Interferometric Wide Swath,1547,15155,16702
24,9,Rx Cal,8,Interferometric Wide Swath,19,16703,16722
25,0,Echo,8,Interferometric Wide Swath,1409,16723,18132
26,10,EPDN Cal,8,Interferometric Wide Swath,19,18133,18152
27,0,Echo,8,Interferometric Wide Swath,1408,18153,19561
28,11,TA Cal,8,Interferometric Wide Swath,19,19562,19581
29,0,Echo,8,Interferometric Wide Swath,1547,19582,21129
30,12,APDN Cal,8,Interferometric Wide Swath,19,21130,21149
31,0,Echo,8,Interferometric Wide Swath,1409,21150,22559
32,12,APDN Cal,8,Interferometric Wide Swath,19,22560,22579
33,0,Echo,8,Interferometric Wide Swath,1408,22580,23988
34,8,Tx Cal,8,Interferometric Wide Swath,19,23989,24008
35,0,Echo,8,Interferometric Wide Swath,1547,24009,25556
36,9,Rx Cal,8,Interferometric Wide Swath,19,25557,25576
37,0,Echo,8,Interferometric Wide Swath,1409,25577,26986
38,10,EPDN Cal,8,Interferometric Wide Swath,19,26987,27006
39,0,Echo,8,Interferometric Wide Swath,1408,27007,28415
40,11,TA Cal,8,Interferometric Wide Swath,19,28416,28435
41,0,Echo,8,Interferometric Wide Swath,1547,28436,29983
42,12,APDN Cal,8,Interferometric Wide Swath,19,29984,30003
43,0,Echo,8,Interferometric Wide Swath,1409,30004,31413
44,12,APDN Cal,8,Interferometric Wide Swath,19,31414,31433
45,0,Echo,8,Interferometric Wide Swath,1408,31434,32842
46,8,Tx Cal,8,Interferometric Wide Swath,19,32843,32862
47,0,Echo,8,Interferometric Wide Swath,1547,32863,34410
48,9,Rx Cal,8,Interferometric Wide Swath,19,34411,34430
49,0,Echo,8,Interferometric Wide Swath,1409,34431,35840
50,10,EPDN Cal,8,Interferometric Wide Swath,19,35841,35860
51,0,Echo,8,Interferometric Wide Swath,1408,35861,37269
52,11,TA Cal,8,Interferometric Wide Swath,19,37270,37289
53,0,Echo,8,Interferometric Wide Swath,1547,37290,38837
54,12,APDN Cal,8,Interferometric Wide Swath,19,38838,38857
55,0,Echo,8,Interferometric Wide Swath,1409,38858,40267
56,12,APDN Cal,8,Interferometric Wide Swath,39,40268,40307
57,9,Rx Cal,8,Interferometric Wide Swath,19,40308,40327
58,10,EPDN Cal,8,Interferometric Wide Swath,59,40328,40387
59,8,Tx Cal,8,Interferometric Wide Swath,99,40388,40487
60,9,Rx Cal,8,Interferometric Wide Swath,49,40488,40537
61,10,EPDN Cal,8,Interferometric Wide Swath,149,40538,40687
62,8,Tx Cal,8,Interferometric Wide Swath,99,40688,40787
63,9,Rx Cal,8,Interferometric Wide Swath,49,40788,40837
64,10,EPDN Cal,8,Interferometric Wide Swath,149,40838,40987
65,8,Tx Cal,8,Interferometric Wide Swath,99,40988,41087
66,9,Rx Cal,8,Interferometric Wide Swath,49,41088,41137
67,10,EPDN Cal,8,Interferometric Wide Swath,149,41138,41287
68,1,Noise,8,Interferometric Wide Swath,7,41288,41295
69,1,Noise,8,Interferometric Wide Swath,7,41296,41303
70,1,Noise,8,Interferometric Wide Swath,7,41304,41311
